variant	stage	dim	fake_rdm_trace_retained	fake_rdm_trace_dropped_at_stage	cumulative_fake_rdm_retained	b_min	b_median	b_max	b_lt_0p999	b_lt_0p99	b_lt_0p98	b_lt_0p95	b_lt_0p9	shape_counts
s0.99	representability	94	93.28203245993295	0.1472819490436592	93.28203245993295	0.9905723760436264	0.9999070131239112	1.0000000000000067	26	0	0	0	0	bond_axis_midbond:54,transverse_bond:40
s0.99_shape_none	shape_filter	94	93.28203245993298	-2.842170943040401e-14	93.28203245993298	0.9905723760436933	0.9999070131239138	1.0000000000000067	26	0	0	0	0	atom_local:52,bond_axis_midbond:14,outer_tail:4,transverse_bond:24
s0.99_shape_none_occ_0.003	fake_filter	87	93.27326936116445	0.008763098768525879	93.27326936116445	0.9937243883924781	0.9999262065119482	1.0000000000000067	22	0	0	0	0	bond_axis_midbond:49,transverse_bond:38
s0.99_shape_none_occ_0.01	fake_filter	82	93.24252163268524	0.03951082724773869	93.24252163268524	0.9945524730875954	0.9999381336850508	1.0000000000000064	19	0	0	0	0	bond_axis_midbond:46,transverse_bond:36
s0.99_shape_none_occ_0.03	fake_filter	78	93.15862603953258	0.12340642040039995	93.15862603953258	0.9949906303730088	0.9999372724977433	1.0000000000000064	17	0	0	0	0	bond_axis_midbond:42,transverse_bond:36
s0.99_shape_conservative	shape_filter	76	74.92862883825103	18.35340362168192	74.92862883825103	0.9937024873600763	0.9999025645065851	1.0000000000000067	21	0	0	0	0	atom_local:52,transverse_bond:24
s0.99_shape_conservative_occ_0.003	fake_filter	74	74.92318068361756	0.005448154633469926	74.92318068361756	0.9937243883924789	0.9998978254325174	1.0000000000000064	21	0	0	0	0	bond_axis_midbond:36,transverse_bond:38
s0.99_shape_conservative_occ_0.01	fake_filter	72	74.90565283362254	0.022976004628489477	74.90565283362254	0.9945524730875962	0.9999025645066448	1.0000000000000064	19	0	0	0	0	bond_axis_midbond:36,transverse_bond:36
s0.99_shape_conservative_occ_0.03	fake_filter	71	74.88425258860063	0.04437624965039788	74.88425258860063	0.9949906303730083	0.9999051152953307	1.0000000000000064	18	0	0	0	0	bond_axis_midbond:35,transverse_bond:36
s0.98	representability	96	93.34011900684264	0.08919540213396715	93.34011900684264	0.9876836478669129	0.9999060642096245	1.0000000000000082	28	2	0	0	0	bond_axis_midbond:56,transverse_bond:40
s0.98_shape_none	shape_filter	96	93.34011900684268	-4.263256414560601e-14	93.34011900684268	0.9876836478669799	0.9999060642096232	1.0000000000000062	28	2	0	0	0	atom_local:58,bond_axis_midbond:12,outer_tail:2,transverse_bond:24
s0.98_shape_none_occ_0.003	fake_filter	87	93.3299522658748	0.01016674096788961	93.3299522658748	0.9937243883924789	0.9999186883626267	1.0000000000000067	23	0	0	0	0	bond_axis_midbond:49,transverse_bond:38
s0.98_shape_none_occ_0.01	fake_filter	82	93.2979138401403	0.04220516670238794	93.2979138401403	0.9945524730875975	0.9999296621846934	1.000000000000009	20	0	0	0	0	bond_axis_midbond:46,transverse_bond:36
s0.98_shape_none_occ_0.03	fake_filter	79	93.24260341823195	0.09751558861073306	93.24260341823195	0.9949906303730096	0.999931647417317	1.0000000000000067	18	0	0	0	0	bond_axis_midbond:43,transverse_bond:36
s0.98_shape_conservative	shape_filter	82	77.77771847964809	15.562400527194555	77.77771847964809	0.9918984766720488	0.9998928009108143	1.0000000000000067	26	0	0	0	0	atom_local:58,transverse_bond:24
s0.98_shape_conservative_occ_0.003	fake_filter	80	77.77227032501453	0.005448154633555191	77.77227032501453	0.9918984766720025	0.9998956371470726	1.0000000000000064	26	0	0	0	0	bond_axis_midbond:42,transverse_bond:38
s0.98_shape_conservative_occ_0.01	fake_filter	78	77.75474247501951	0.022976004628574742	77.75474247501951	0.9918984766720024	0.9998943708833987	1.0000000000000064	24	0	0	0	0	bond_axis_midbond:42,transverse_bond:36
s0.98_shape_conservative_occ_0.03	fake_filter	74	77.66651903835344	0.11119944129464443	77.66651903835344	0.9933151078198814	0.9999051152953333	1.0000000000000062	20	0	0	0	0	bond_axis_midbond:38,transverse_bond:36
s0.97	representability	98	93.34474140958676	0.08457299938984875	93.34474140958676	0.9714199996349996	0.9999051152953331	1.0000000000000078	30	4	2	0	0	bond_axis_midbond:58,transverse_bond:40
s0.97_shape_none	shape_filter	98	93.34474140958677	-1.4210854715202004e-14	93.34474140958677	0.9714199996349326	0.9999051152953315	1.0000000000000087	30	4	2	0	0	atom_local:60,bond_axis_midbond:8,outer_tail:6,transverse_bond:24
s0.97_shape_none_occ_0.003	fake_filter	87	93.3344392826901	0.010302126896675645	93.3344392826901	0.9937243883924785	0.9999186883626261	1.0000000000000064	24	0	0	0	0	bond_axis_midbond:49,transverse_bond:38
s0.97_shape_none_occ_0.01	fake_filter	82	93.30205807779768	0.04268333178909245	93.30205807779768	0.9945524730875969	0.999924460050122	1.0000000000000064	20	0	0	0	0	bond_axis_midbond:46,transverse_bond:36
s0.97_shape_none_occ_0.03	fake_filter	79	93.24672438766193	0.0980170219248464	93.24672438766193	0.9949906303730082	0.9999316474173172	1.0000000000000067	18	0	0	0	0	bond_axis_midbond:43,transverse_bond:36
s0.97_shape_conservative	shape_filter	84	83.01630690046849	10.328434509118267	83.01630690046849	0.973962843805255	0.9998991589452662	1.0000000000000064	26	3	2	0	0	atom_local:60,transverse_bond:24
s0.97_shape_conservative_occ_0.003	fake_filter	80	83.00767051456282	0.008636385905674615	83.00767051456282	0.9889060049320064	0.9999003762212031	1.0000000000000069	25	2	0	0	0	bond_axis_midbond:42,transverse_bond:38
s0.97_shape_conservative_occ_0.01	fake_filter	77	82.98174038911797	0.034566511350519136	82.98174038911797	0.9889060049320063	0.9999051152953313	1.0000000000000067	22	1	0	0	0	bond_axis_midbond:41,transverse_bond:36
s0.97_shape_conservative_occ_0.03	fake_filter	74	82.91364280628464	0.10266409418385081	82.91364280628464	0.9928557332011299	0.999905115295334	1.0000000000000064	19	0	0	0	0	bond_axis_midbond:38,transverse_bond:36
s0.95	representability	102	93.38315140710527	0.04616300187133504	93.38315140710527	0.9654794281329034	0.9998843942895808	1.0000000000000062	34	8	6	0	0	bond_axis_midbond:58,transverse_bond:44
s0.95_shape_none	shape_filter	102	93.38315140710526	1.4210854715202004e-14	93.38315140710526	0.9654794281328948	0.9998843942897668	1.0000000000000069	34	8	6	0	0	atom_local:80,bond_axis_midbond:8,outer_tail:6,transverse_bond:8
s0.95_shape_none_occ_0.003	fake_filter	87	93.37269732851348	0.010454078591777716	93.37269732851348	0.9934658245058705	0.9999186883626252	1.0000000000000062	26	0	0	0	0	bond_axis_midbond:55,transverse_bond:32
s0.95_shape_none_occ_0.01	fake_filter	82	93.34014842690691	0.04300298019835225	93.34014842690691	0.994552473087597	0.9999244600501178	1.0000000000000064	22	0	0	0	0	bond_axis_midbond:52,transverse_bond:30
s0.95_shape_none_occ_0.03	fake_filter	79	93.28481473677115	0.0983366703341062	93.28481473677115	0.9949906303730088	0.9999316474173162	1.0000000000000064	20	0	0	0	0	bond_axis_midbond:49,transverse_bond:30
s0.95_shape_conservative	shape_filter	88	83.05471689798699	10.328434509118281	83.05471689798699	0.9654794281328951	0.9998814278937564	1.0000000000000064	30	7	6	0	0	atom_local:80,transverse_bond:8
s0.95_shape_conservative_occ_0.003	fake_filter	80	83.04592856038614	0.00878833760084774	83.04592856038614	0.9889060049320739	0.9998983708328063	1.0000000000000062	27	2	0	0	0	bond_axis_midbond:48,transverse_bond:32
s0.95_shape_conservative_occ_0.01	fake_filter	77	83.01983073822716	0.03488615975983578	83.01983073822716	0.9889060049320737	0.9999021192328627	1.0000000000000064	24	1	0	0	0	bond_axis_midbond:47,transverse_bond:30
s0.95_shape_conservative_occ_0.03	fake_filter	74	82.95173315539382	0.10298374259316745	82.95173315539382	0.9928557332008046	0.999902119232865	1.0000000000000064	21	0	0	0	0	bond_axis_midbond:44,transverse_bond:30
