localized_mode	z_center	localized_shape	localized_fake_rdm_weight	localized_representability	localized_rule_bucket	dominant_svd_mode	dominant_svd_overlap	dominant_svd_status	dominant_svd_representability	dominant_svd_fake_rdm_weight	dominant_svd_label	dominant_svd_channel
1	-9.185825405088574	bond_axis_midbond	0.3216648212427162	0.9992060402559793	strict_fake_ge_1e_m3_repr_ge_0p99	55	0.23010671843418284	kept	0.9995465538468957	0.3400799214455119	a_s4	s
2	-8.031097796366906	bond_axis_midbond	0.793546999588143	0.9992566328313184	strict_fake_ge_1e_m3_repr_ge_0p99	47	0.23039744359139802	kept	0.9998011554291764	0.44777590895380964	a_s9	s
3	-6.247944814710751	transverse_bond	0.8794468685966472	0.9990891582826242	strict_fake_ge_1e_m3_repr_ge_0p99	64	0.13508394839695886	kept	0.999051199401321	0.6725892600963296	a_px7	px
4	-6.2479448147072505	transverse_bond	0.8794468685983227	0.9990891582823821	strict_fake_ge_1e_m3_repr_ge_0p99	63	0.1350839481273211	kept	0.9990511994013347	0.6725892600854628	a_py7	py
5	-5.798131209215233	outer_tail	1.1971546692379704	0.9972080712272371	strict_fake_ge_1e_m3_repr_ge_0p99	8	0.12705221114253248	kept	0.999992894085355	1.6174192730497188	a_s4	s
6	-5.1315223087622375	outer_tail	0.5507093691841991	0.987164896403024	fake_high_ambiguous_or_poor	96	0.2340998752592303	dropped	0.9876836478668878	0.012254803639552156	a_s4	s
7	-4.537604058370171	atom_local	0.9132771575018849	0.9929741215334273	strict_fake_ge_1e_m3_repr_ge_0p99	41	0.0995187727709427	kept	0.999837034452692	0.6261855909233744	b_pz7	pz
8	-4.349555556767115	transverse_bond	0.9968595222249634	0.999441135801792	strict_fake_ge_1e_m3_repr_ge_0p99	51	0.14821531386555228	kept	0.9996597556799727	0.5460989431064366	b_px3	px
9	-4.349555556766769	transverse_bond	0.996859522223719	0.9994411358017578	strict_fake_ge_1e_m3_repr_ge_0p99	52	0.14821531391328235	kept	0.9996597556798843	0.5460989430517255	b_py3	py
10	-3.553218486256725	atom_local	2.0483570557926436	0.9968687445276295	strict_fake_ge_1e_m3_repr_ge_0p99	2	0.1549194396479562	kept	0.9999996765191803	3.6061957132029576	b_s3	s
11	-3.343824877389425	atom_local	0.6347811550171301	0.9907521844038557	strict_fake_ge_1e_m3_repr_ge_0p99	30	0.11137092713188264	kept	0.9999288279255926	1.3147854539595694	b_s3	s
12	-3.123547521284527	atom_local	1.0085276809892962	0.9987411070681929	strict_fake_ge_1e_m3_repr_ge_0p99	26	0.11362098357584674	kept	0.9999529129534975	0.9878867343560057	b_px3	px
13	-3.123547521284371	atom_local	1.0085276809895556	0.9987411070681762	strict_fake_ge_1e_m3_repr_ge_0p99	25	0.11362098357115423	kept	0.9999529129534999	0.9878867343403537	b_py3	py
14	-3.098168761562502	atom_local	0.7114260638912	0.9993279140621204	strict_fake_ge_1e_m3_repr_ge_0p99	38	0.1856257142550085	kept	0.9998467136320743	0.33492458317257146	b_dyy6	dyy
15	-3.098168761562481	atom_local	0.8470167125765853	0.9994771355530675	strict_fake_ge_1e_m3_repr_ge_0p99	36	0.16670272394902216	kept	0.9998860893489391	0.5541213663157283	b_dxy6	dxy
16	-2.901311031344079	atom_local	0.23807404745101562	0.9726362523780069	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	66	0.11739087531604954	kept	0.9990182251490013	0.3281644505505954	b_s3	s
17	-2.7470919911732548	bond_axis_midbond	0.7726594682302254	0.975897114314934	fake_high_bond_spanning	7	0.1562645069765689	kept	0.9999958483310043	2.641558431186848	b_s9	s
18	-2.4933207306847436	atom_local	0.5137722320888207	0.9845656895835185	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	90	0.1174088406537524	kept	0.9947038952603127	0.07145914151835832	a_pz3	pz
19	-2.4442774653246495	atom_local	0.8867232534020774	0.9966005345472851	strict_fake_ge_1e_m3_repr_ge_0p99	68	0.222921733486757	kept	0.9990057341719724	0.5225030265614596	b_py7	py
20	-2.444277465323636	atom_local	0.8867232534053615	0.9966005345472145	strict_fake_ge_1e_m3_repr_ge_0p99	67	0.22292173343230826	kept	0.9990057341720701	0.5225030264444559	b_px7	px
