row_index	local_index	state_x	state_y	state_z	x	y	z	nearest_center_distance	terminal_support_weight	parent_product_weight	parent_minus_terminal_weight	u_direct	row_action	ratio_row_action_over_u_direct	row_residual	residual_abs	residual_sq_fraction_direct_core	residual_sq_fraction_all	analytic_point_potential	analytic_equal_width_gaussian_average	row_action_minus_point	u_direct_minus_point	u_direct_minus_equal_width_average	boundary	core_center	small_weight_q25	local_spacing_x	local_spacing_y	local_spacing_z	local_spacing_min	local_spacing_geom
1	1	5	5	5	-0.6997875680278085	-0.6997875680278085	-0.6997875680278085	1.2120676223292264	0.3178571685562915	0.3178571685562915	0.0	0.8252330579844374	0.8260372610638921	1.000974516315935	0.0002556217137796857	0.0002556217137796857	5.228821122311499e-7	5.200106170685809e-7	0.8250354486437063	0.8245352689134816	0.0010018124201858214	0.00019760934073109748	0.0006977890709557455	true	false	false	0.3924214202940908	0.3924214202940908	0.3924214202940908	0.3924214202940908	0.3924214202940908
2	2	5	5	6	-0.6997875680278085	-0.6997875680278085	-0.30736614773371773	1.0362814431925407	0.2695849336621774	0.2695849336621774	0.0	0.9622663278431193	0.9661561103820242	1.0040423138858279	0.0010486267677110028	0.0010486267677110028	8.799341635124609e-6	8.751018568896093e-6	0.9649560395436518	0.9617288671042656	0.001200070838372369	-0.00268971170053256	0.0005374607388536345	true	false	false	0.3924214202940908	0.3924214202940908	0.3073661477337204	0.3073661477337204	0.3617321821092129
3	3	5	5	7	-0.6997875680278085	-0.6997875680278085	2.6645352591003757e-15	0.9896490694850116	0.2524022924112028	0.2524022924112028	0.0	1.0057378563924848	1.0116909810834953	1.0059191613929737	0.0015025823190207843	0.0015025823190207843	1.8066950257539387e-5	1.7967732558074533e-5	1.010383012809176	1.0052818741931857	0.0013079682743193377	-0.004645156416691165	0.00045598219929909867	true	false	false	0.3924214202940908	0.3924214202940908	0.3073661477337204	0.3073661477337204	0.3617321821092129
4	4	5	5	8	-0.6997875680278085	-0.6997875680278085	0.3073661477337257	1.0362814431925431	0.2695849336621883	0.2695849336621883	0.0	0.9622663278431124	0.9661561103820173	1.004042313885828	0.0010486267677110583	0.0010486267677110583	8.799341635125539e-6	8.751018568897018e-6	0.9649560395436496	0.9617288671042635	0.0012000708383677061	-0.002689711700537223	0.0005374607388488606	true	false	false	0.3924214202940908	0.3924214202940908	0.30736614773372306	0.30736614773372306	0.36173218210921393
5	5	5	5	9	-0.6997875680278085	-0.6997875680278085	0.6997875680278121	1.2120676223292284	0.31785716855630114	0.31785716855630114	0.0	0.8252330579844299	0.82603726106389	1.0009745163159414	0.0002556217137814065	0.0002556217137814065	5.2288211223819e-7	5.200106170755824e-7	0.8250354486437049	0.8245352689134804	0.0010018124201850442	0.00019760934072499126	0.0006977890709495282	true	false	false	0.3924214202940908	0.3924214202940908	0.39242142029408633	0.39242142029408633	0.39242142029408933
6	6	5	6	5	-0.6997875680278085	-0.30736614773371773	-0.6997875680278085	1.0362814431925407	0.2695849336621774	0.2695849336621774	0.0	0.9622663278431193	0.9661561103820246	1.0040423138858283	0.0010486267677111138	0.0010486267677111138	8.79934163512647e-6	8.751018568897945e-6	0.9649560395436518	0.9617288671042656	0.0012000708383728131	-0.00268971170053256	0.0005374607388536345	true	false	false	0.3924214202940908	0.3073661477337204	0.3924214202940908	0.3073661477337204	0.3617321821092129
7	7	5	6	6	-0.6997875680278085	-0.30736614773371773	-0.30736614773371773	0.8238024871967831	0.22864369171768384	0.22864369171768384	0.0	1.1904260822376664	1.2143177174314173	1.0200698183198753	0.005462671671871311	0.005462671671871311	0.0002387912986859665	0.00023747993606138852	1.21268936887249	1.1898450358716348	0.0016283485589272395	-0.022263286634823576	0.0005810463660316234	true	false	false	0.3924214202940908	0.3073661477337204	0.3073661477337204	0.3073661477337204	0.3334429896192472
8	8	5	6	7	-0.6997875680278085	-0.30736614773371773	2.6645352591003757e-15	0.7643144569736597	0.21407053855324729	0.21407053855324729	0.0	1.2687916533525783	1.3076757151578695	1.0306465302656638	0.008323932051796434	0.008323932051796434	0.0005544537860130649	0.0005514089096878622	1.3054394959555737	1.2682829595332308	0.002236219202295775	-0.03664784260299547	0.0005086938193474833	true	false	false	0.3924214202940908	0.3073661477337204	0.3073661477337204	0.3073661477337204	0.3334429896192472
9	9	5	6	8	-0.6997875680278085	-0.30736614773371773	0.3073661477337257	0.8238024871967861	0.2286436917176931	0.2286436917176931	0.0	1.1904260822376564	1.2143177174314075	1.0200698183198755	0.005462671671871588	0.005462671671871588	0.0002387912986859908	0.00023747993606141265	1.2126893688724856	1.189845035871631	0.0016283485589219104	-0.022263286634829127	0.0005810463660254062	true	false	false	0.3924214202940908	0.3073661477337204	0.30736614773372306	0.3073661477337204	0.3334429896192482
10	10	5	6	9	-0.6997875680278085	-0.30736614773371773	0.6997875680278121	1.0362814431925431	0.26958493366218556	0.26958493366218556	0.0	0.9622663278431102	0.966156110382017	1.0040423138858299	0.001048626767711558	0.001048626767711558	8.799341635133925e-6	8.751018568905356e-6	0.9649560395436496	0.9617288671042635	0.001200070838367373	-0.0026897117005394433	0.0005374607388466401	true	false	false	0.3924214202940908	0.3073661477337204	0.39242142029408633	0.3073661477337204	0.3617321821092115
