localized_mode	z_center	x_center	y_center	rms_x	rms_y	rms_z	owner1_fraction	owner2_fraction	dominant_owner	dominant_label	dominant_label_group	dominant_channel	width	midpoint_tail	other_center_tail	fake_rdm_weight	representability	strict_keep	relaxed_atom_local_keep	shape	rule_bucket	compact_fraction	near_fraction	s_fraction	px_fraction	py_fraction	pz_fraction	d_fraction	top_labels
1	-9.185825405088574	-7.820660258409001e-13	3.4814665343106457e-13	4.810825175971289	4.810825175970929	3.9156481398193104	0.46192389081426155	0.5380761091857384	2	b_s4	b_s	s	2.934695390622365	0.4932373233530662	0.27288848350640255	0.3216648212427162	0.9992060402559793	true	false	bond_axis_midbond	strict_fake_ge_1e_m3_repr_ge_0p99	0.12769842156470387	0.8723015784352962	0.7031103528660622	7.492699710546767e-24	5.332386661767147e-25	0.0887557934182684	0.20813385371566945	b_s4:2.297550846154e-01,a_s5:1.462069234480e-01,b_s6:1.292317485672e-01,b_s3:5.411243790852e-02,a_s4:4.989720279542e-02,a_pz8:4.209446179224e-02,a_dxx2:3.210372778690e-02,a_dyy2:3.210372778690e-02
2	-8.031097796366906	9.251251359275144e-13	-2.8334983893763997e-12	3.0194495404522717	3.0194495404522534	2.3133198615474013	0.5642222001335169	0.43577779986648313	1	a_pz7	a_pz	pz	2.876294997088702	0.5297914315945745	0.28164900010487326	0.793546999588143	0.9992566328313184	true	false	bond_axis_midbond	strict_fake_ge_1e_m3_repr_ge_0p99	0.05051737453476425	0.9494826254652358	0.45565375218030013	5.420506662872024e-25	4.836118530757245e-24	0.4776823530504555	0.06666389476924439	a_pz7:2.598663436251e-01,a_pz3:1.687715586226e-01,b_s4:1.607970700013e-01,b_s6:9.347717157802e-02,a_s5:5.226721483400e-02,b_s5:3.938371815213e-02,b_s3:3.585718267230e-02,b_pz7:3.429611167727e-02
3	-6.247944814710751	7.853552442398276e-12	-8.660330969492008e-13	5.130901499001444	2.9923275597011516	2.1886975184424737	0.4483895241404069	0.5516104758595932	2	b_px7	b_px	px	2.8334136219569506	0.5690915612078807	0.2923478595926773	0.8794468685966472	0.9990891582826242	true	false	transverse_bond	strict_fake_ge_1e_m3_repr_ge_0p99	6.144555123235634e-5	0.9999385544487674	1.092765868233198e-20	0.9854108016987451	0.007541708363002197	2.2324118148140926e-22	0.007047489938252848	b_px7:3.010209774072e-01,a_px7:2.434612003679e-01,b_px3:2.305996084666e-01,a_px3:1.798597404790e-01,a_px8:1.397681189412e-02,b_px8:1.277829847880e-02,a_dxz6:6.024462313770e-03,b_py7:2.303823358547e-03
4	-6.2479448147072505	4.447156440565298e-13	7.377154437410421e-12	2.992327559701467	5.130901499002366	2.188697518441143	0.4483895241491029	0.551610475850897	2	b_py7	b_py	py	2.8334136219589054	0.5690915612081219	0.29234785959294923	0.8794468685983227	0.9990891582823821	true	false	transverse_bond	strict_fake_ge_1e_m3_repr_ge_0p99	6.144555123558926e-5	0.9999385544487642	1.3111978522944894e-21	0.007541708362881459	0.985410801698614	2.880610081605732e-22	0.007047489938504601	b_py7:3.010209774034e-01,a_py7:2.434612003729e-01,b_py3:2.305996084623e-01,a_py3:1.798597404822e-01,a_py8:1.397681189449e-02,b_py8:1.277829847855e-02,a_dyz6:6.024462313983e-03,b_px7:2.303823358527e-03
5	-5.798131209215233	1.9413385145952087e-12	2.68952242017246e-14	3.9800324938521334	3.9800324938555653	2.751695819504158	0.939740147742216	0.06025985225778417	1	a_s4	a_s	s	2.4715091424403757	0.4192359404247991	0.21925560824697163	1.1971546692379704	0.9972080712272371	true	false	outer_tail	strict_fake_ge_1e_m3_repr_ge_0p99	0.22800164470694853	0.7719983552930507	0.8411576616269166	1.967860690753792e-24	9.280675001136826e-25	0.0272855641421422	0.13155677423094037	a_s4:4.659330898063e-01,a_s3:1.532907934488e-01,a_s6:1.057391665300e-01,a_s5:3.764920457721e-02,a_dxx2:2.179539024782e-02,a_dyy2:2.179539024782e-02,a_dxx1:2.155909227353e-02,a_dyy1:2.155909227353e-02
6	-5.1315223087622375	-6.717176750285901e-12	-1.9087434495138773e-12	5.758735341275805	5.758735341269891	3.7981790864938807	0.9010139029957165	0.09898609700428371	1	a_s4	a_s	s	2.3878615420011866	0.4189445150833456	0.21440300513173063	0.5507093691841991	0.987164896403024	false	false	outer_tail	fake_high_ambiguous_or_poor	0.2183904878535168	0.7816095121464834	0.8195205705887678	3.7775702389692565e-24	1.5088075168304605e-24	0.05521765880365378	0.12526177060757834	a_s4:4.443217315082e-01,a_s3:1.501903140347e-01,a_s6:9.758968632855e-02,a_s5:3.986591575245e-02,b_s6:2.765377105946e-02,a_dzz1:2.104844474391e-02,b_s4:2.097460243338e-02,a_dzz2:2.083276857843e-02
7	-4.537604058370171	-5.575411478734268e-12	-6.993123801341314e-12	2.9578142308238906	2.9578142308225073	1.8379805255088932	0.7305441053974451	0.2694558946025554	1	a_s4	a_s	s	2.580957515679507	0.4712494527416879	0.2492988239840451	0.9132771575018849	0.9929741215334273	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.14300897739235044	0.8569910226076497	0.6572059974451415	1.9621657025001338e-24	4.126958953727066e-24	0.30290463830826403	0.039889364246594554	a_s4:3.245836849945e-01,a_pz7:1.736475944103e-01,b_s4:1.063055108067e-01,a_pz3:9.277236102807e-02,a_s3:7.818483658935e-02,b_s6:6.481124635806e-02,b_s3:4.627072393561e-02,b_pz7:2.665063945074e-02
8	-4.349555556767115	3.233506541389995e-12	-4.044247471523755e-13	3.7180182706873155	2.178917895794856	1.7695984442937978	0.5884019668216511	0.41159803317834903	1	a_px3	a_px	px	3.073996307969518	0.5739383800682331	0.3056065001599977	0.9968595222249634	0.999441135801792	true	false	transverse_bond	strict_fake_ge_1e_m3_repr_ge_0p99	0.0012285497936154802	0.9987714502063845	3.84559448233677e-21	0.940197363682562	0.010737301824420783	3.5528018463660833e-22	0.04906533449301733	a_px3:2.519835402225e-01,b_px3:2.173682136654e-01,a_px7:2.120269818825e-01,b_px7:1.339580786138e-01,a_px8:6.876263835049e-02,b_px8:3.309550296976e-02,a_dxz4:1.366363990478e-02,a_dxz3:1.234214586053e-02
9	-4.349555556766769	2.5537672953204336e-13	2.6887353684396058e-12	2.1789178957961504	3.7180182706896105	1.7695984442948267	0.5884019668301652	0.41159803316983484	1	a_py3	a_py	py	3.07399630797747	0.5739383800686373	0.3056065001606733	0.996859522223719	0.9994411358017578	true	false	transverse_bond	strict_fake_ge_1e_m3_repr_ge_0p99	0.0012285497936555324	0.9987714502063443	5.971166130363528e-22	0.010737301824153448	0.9401973636811305	1.5340516914219396e-22	0.04906533449471592	a_py3:2.519835402257e-01,b_py3:2.173682136615e-01,a_py7:2.120269818845e-01,b_py7:1.339580786092e-01,a_py8:6.876263835238e-02,b_py8:3.309550296988e-02,a_dyz4:1.366363990526e-02,a_dyz3:1.234214586096e-02
10	-3.553218486256725	1.5991907836992806e-12	2.811952077415531e-13	2.63210541665237	2.63210541665148	1.8297810663854526	0.8809571408061201	0.11904285919388032	1	a_s5	a_s	s	2.2866124748817267	0.3898378536876606	0.18466613947529487	2.0483570557926436	0.9968687445276295	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.2784028896707308	0.7215971103292697	0.7212926850721616	7.495586104392669e-24	2.0092613812801253e-24	0.06256802895679613	0.21613928597104237	a_s5:1.989229104945e-01,a_s4:1.831758711398e-01,a_s3:1.535748913872e-01,a_s6:1.034398378949e-01,a_dzz1:4.046611060167e-02,a_dxx1:3.759868055525e-02,a_dyy1:3.759868055525e-02,b_pz3:3.478163859124e-02
