variant	stage	status	drop_reason	direction	fake_rdm_weight	representability	shape	dominant_owner	dominant_label	dominant_channel	dominant_l	dominant_shell	z_center	rms_x	rms_y	rms_z	owner1_fraction	owner2_fraction	midpoint_tail	other_center_tail	width	s_fraction	px_fraction	py_fraction	pz_fraction	d_fraction	top_labels
s0.99	representability_drop	dropped	s_below_cut	5	0.014946800013859018	0.925153078693937	bond_axis_midbond	2	b_s6	s	0	6	1.6287466568700754e-6	1.5426661598166882	1.5426661598444102	2.367702266780317	0.499999490875924	0.5000005091240763	0.37900797330813113	0.1881365925684951	2.4613244844353397	0.934462108949751	8.245302315230786e-22	2.998648924106368e-22	0.010395420949096361	0.055142470101152655	b_s6:1.738913188471e-01,a_s6:1.738910063921e-01,b_s7:1.183924432092e-01,a_s7:1.183922090904e-01,b_s3:1.005624676821e-01,a_s3:1.005622435817e-01,b_s4:3.912556005668e-02,a_s4:3.912544102076e-02
s0.99	representability_drop	dropped	s_below_cut	6	0.022815601434060088	0.9338154693889682	bond_axis_midbond	1	a_s6	s	0	6	-1.7007783048511243e-6	1.5014135698920532	1.50141356986613	2.262308740604725	0.500000580343321	0.4999994196566792	0.371943223818868	0.18819750005857744	2.4699451648891446	0.9265990764889245	2.2363996946442242e-21	1.9830723322942884e-22	7.662883546346664e-6	0.07339326062752942	a_s6:1.364696863418e-01,b_s6:1.364693216648e-01,a_s3:1.112958424254e-01,b_s3:1.112955876978e-01,a_s7:1.082429558349e-01,b_s7:1.082426796899e-01,a_s4:6.153596400545e-02,b_s4:6.153584779784e-02
s0.99	representability_drop	dropped	s_below_cut	7	0.010276401326699361	0.9654794281328943	transverse_bond	2	b_py7	py	1	7	2.0085240233657752e-8	1.3314685247940656	2.25877082603459	2.4884980861611914	0.49999999430166703	0.5000000056983332	0.558721379057369	0.28182847717926235	2.7709010225986663	8.425630780168434e-19	0.015735412597987077	0.9841614262809547	2.4519346734571894e-20	0.00010316112105827367	b_py7:2.398119574419e-01,a_py7:2.398119520295e-01,b_py3:2.245806109577e-01,a_py3:2.245806058424e-01,b_py8:1.321971359429e-02,a_py8:1.321971326956e-02,b_py6:7.292134132558e-03,a_py6:7.292133952229e-03
s0.99	representability_drop	dropped	s_below_cut	8	0.010276401331954045	0.9654794281417473	transverse_bond	2	b_px7	px	1	7	1.0118321825982086e-8	2.2587708259618564	1.3314685247422238	2.4884980860667056	0.4999999971350409	0.500000002864959	0.558721379057198	0.2818284771791223	2.7709010225982533	5.196968247102183e-18	0.9841614262800175	0.01573541259893703	2.757329279912271e-20	0.00010316112104519928	b_px7:2.398119560796e-01,a_px7:2.398119533899e-01,b_px3:2.245806096713e-01,a_px3:2.245806071288e-01,b_px8:1.321971351259e-02,a_px8:1.321971335142e-02,b_px6:7.292134087467e-03,a_px6:7.292133997706e-03
s0.99	representability_drop	dropped	s_below_cut	13	0.012254803639550324	0.9876836478668909	bond_axis_midbond	1	a_s4	s	0	4	2.747983385243657e-7	6.19214411946855	6.192144119470146	4.810186097505737	0.4999999501139417	0.5000000498860584	0.4285140962015861	0.21309592958257154	2.3750681534346887	0.7346240104389425	1.2483047923997785e-21	1.2861342797378416e-21	0.0007115032275005139	0.2646644863335571	a_s4:1.786788124483e-01,b_s4:1.786785029643e-01,b_s5:5.148553319248e-02,a_s5:5.148550253173e-02,b_s3:4.169722804112e-02,a_s3:4.169709195907e-02,b_s6:3.876910930191e-02,a_s6:3.876899832101e-02
s0.99	representability_drop	dropped	s_below_cut	14	0.045831743270148176	0.9886663991360818	bond_axis_midbond	2	b_s4	s	0	4	-2.301269946171184e-7	2.49323319933477	2.4932331993446875	4.717527348466769	0.4999999759483454	0.5000000240516549	0.38159152553929787	0.19828988168904968	2.3260790491939733	0.9234669798011355	2.7251835185412273e-22	1.1845345858160492e-22	0.039724477102995606	0.03680854309586897	b_s4:2.268280611960e-01,a_s4:2.268280079284e-01,b_s3:1.348402353444e-01,a_s3:1.348402353266e-01,b_s6:7.211109744156e-02,a_s6:7.211109532397e-02,b_s7:1.498217797181e-02,a_s7:1.498217734307e-02
s0.99_shape_none_occ_0.01	fake_drop	dropped	fake_below_occ_cut	8	0.003382362118789034	0.9986426672206875	bond_axis_midbond	1	a_s4	s	0	4	4.581717682650007e-9	3.8512498412769105	3.85124984127709	7.161070958265461	0.4999999993564984	0.5000000006435014	0.45755899777337583	0.24876099712257338	2.7562313728633225	0.7752865019897321	8.988165502192123e-22	4.373033662738443e-22	0.07595852439884641	0.14875497361142145	a_s4:1.438196120604e-01,b_s4:1.438196029609e-01,a_s5:1.342434706824e-01,b_s5:1.342434601364e-01,b_s3:4.549515616332e-02,a_s3:4.549514939450e-02,a_pz7:2.858540247571e-02,b_pz7:2.858540225370e-02
s0.99_shape_none_occ_0.01	fake_drop	dropped	fake_below_occ_cut	9	0.004826971110559517	0.9977041887877515	bond_axis_midbond	1	a_s4	s	0	4	-2.7917163988168755e-7	2.515117250122983	2.5151172501226573	3.568564573538626	0.5000002309917063	0.4999997690082932	0.45230296772986583	0.2561331172480665	2.9144979564156235	0.8176430842006485	1.5260574483153126e-21	1.858200132296136e-21	0.11497149709787526	0.06738541870147613	a_s4:1.837423465113e-01,b_s4:1.837422381655e-01,a_s3:9.321117223040e-02,b_s3:9.321099283512e-02,a_s6:5.514636430053e-02,b_s6:5.514624537138e-02,b_pz3:3.221356275012e-02,a_pz3:3.221355969139e-02
s0.99_shape_none_occ_0.01	fake_drop	dropped	fake_below_occ_cut	10	0.005010545254853623	0.9978267110333077	bond_axis_midbond	2	b_s3	s	0	3	2.3349974983459602e-7	4.78356555446996	4.783565554470028	3.9743025675352044	0.4999999193473836	0.5000000806526166	0.29400623859394587	0.13213192112050542	1.94433925748319	0.8703957439759455	1.090096903183072e-21	1.1400794538474627e-22	0.00015339010013232167	0.1294508659239222	b_s3:1.763052408425e-01,a_s3:1.763051857972e-01,b_s6:8.718559471830e-02,a_s6:8.718555559945e-02,b_s4:7.316697802625e-02,a_s4:7.316693782202e-02,b_s5:4.993836432093e-02,a_s5:4.993835585005e-02
s0.99_shape_none_occ_0.01	fake_drop	dropped	fake_below_occ_cut	11	0.008763924997481133	0.9957323929742361	transverse_bond	2	b_px7	px	1	7	6.589430523400367e-11	3.8284030367947675	2.250741737097014	4.23766568818672	0.49999999917646104	0.5000000008235388	0.5606156834018691	0.29270283120410573	2.8577718044517195	3.4389940820750466e-19	0.924325528571437	0.01284996168960629	5.0086888325611414e-20	0.06282450973895665	b_px7:3.264896782475e-01,a_px7:3.264896771839e-01,b_px3:9.822307395973e-02,a_px3:9.822307339041e-02,b_px8:1.571162278255e-02,a_px8:1.571162272262e-02,a_px4:1.049953920328e-02,b_px4:1.049953917458e-02
